"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Merrill, Jackson",701538,2026,4,1,0.0,0.027,-0.027,0.0,0.031,-0.031,0.0,0.024,-0.024
"Crawford, Justin",702222,2026,4,4,0.5,0.215,0.285,0.5,0.255,0.245,0.521,0.205,0.316
"Nimmo, Brandon",607043,2026,4,2,0.0,0.173,-0.173,0.0,0.203,-0.203,0.19,0.314,-0.124
"O'Hearn, Ryan",656811,2026,4,3,0.5,0.246,0.254,1.25,0.37,0.88,0.964,0.263,0.701
"Tatis Jr., Fernando",665487,2026,4,4,0.25,0.304,-0.0539999999999999,0.25,0.417,-0.1669999999999999,0.261,0.311,-0.0499999999999999
"García, Adolis",666969,2026,4,2,0.0,0.342,-0.342,0.0,0.392,-0.392,0.0,0.325,-0.325
"Raley, Luke",670042,2026,4,2,0.25,0.316,-0.066,1.0,0.999,0.001,0.704,0.541,0.1629999999999999
"Wallner, Matt",670242,2026,4,1,0.0,0.029,-0.029,0.0,0.032,-0.032,0.38,0.394,-0.014
"DeLuca, Jonny",676356,2026,4,4,0.5,0.307,0.193,0.5,0.328,0.172,0.521,0.277,0.244
"Realmuto, J.T.",592663,2026,4,0,0.0,,,0.0,,,0.201,0.201,0.0
"Carroll, Corbin",682998,2026,4,4,0.25,0.259,-0.009,0.25,0.304,-0.0539999999999999,0.261,0.254,0.007
"Wiemer, Joey",686894,2026,4,3,1.0,0.491,0.509,2.0,1.47,0.53,1.415,0.803,0.612
"Walker, Jordan",691023,2026,4,4,0.25,0.315,-0.065,0.5,0.686,-0.186,0.397,0.422,-0.0249999999999999
"Smith, Cam",701358,2026,4,1,0.0,0.077,-0.077,0.0,0.078,-0.078,0.19,0.242,-0.0519999999999999
"Lee, Jung Hoo",808982,2026,4,4,0.0,0.347,-0.347,0.0,0.473,-0.473,0.0,0.348,-0.348
"Stanton, Giancarlo",519317,2026,4,3,0.5,0.446,0.0539999999999999,0.5,0.574,-0.0739999999999999,0.521,0.435,0.086
"Ozuna, Marcell",542303,2026,4,3,0.0,0.134,-0.134,0.0,0.239,-0.239,0.0,0.158,-0.158
"Suárez, Eugenio",553993,2026,4,1,0.0,0.002,-0.002,0.0,0.002,-0.002,0.0,0.001,-0.001
"Bell, Josh",605137,2026,4,0,0.0,,,0.0,,,0.19,0.19,0.0
