"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Steer, Spencer",668715,2026,4,1,0.0,0.058,-0.058,0.0,0.219,-0.219,0.19,0.277,-0.087
"Reynolds, Bryan",668804,2026,4,2,0.25,0.134,0.1159999999999999,0.25,0.208,0.042,0.261,0.145,0.116
"Marsh, Brandon",669016,2026,4,3,0.5,0.339,0.1609999999999999,1.0,0.413,0.587,0.794,0.328,0.466
"Hays, Austin",669720,2026,4,2,0.25,0.217,0.033,0.25,0.234,0.0159999999999999,0.261,0.198,0.063
"Ramos, Heliot",671218,2026,4,2,0.25,0.249,0.001,0.25,0.272,-0.022,0.261,0.228,0.033
"Loperfido, Joey",694388,2026,4,4,0.5,0.426,0.074,0.75,0.494,0.256,0.657,0.405,0.252
"Church, Nathan",701675,2026,4,4,0.75,0.433,0.317,0.75,0.495,0.255,0.782,0.41,0.372
"Buxton, Byron",621439,2026,4,3,0.25,0.161,0.089,0.75,0.25,0.5,0.52,0.174,0.346
"Abreu, Wilyer",677800,2026,4,3,0.25,0.173,0.077,0.25,0.179,0.071,0.261,0.159,0.102
"Kelly, Carson",608348,2026,4,3,0.333,0.668,-0.335,0.333,1.329,-0.996,0.451,0.821,-0.3699999999999999
"Jansen, Danny",643376,2026,4,4,0.25,0.249,0.001,0.25,0.288,-0.0379999999999999,0.261,0.234,0.0269999999999999
"Ruiz, Keibert",660688,2026,4,3,0.25,0.093,0.157,0.25,0.106,0.144,0.261,0.084,0.177
"Raleigh, Cal",663728,2026,4,0,0.0,,,0.0,,,0.19,0.19,0.0
"Fortes, Nick",663743,2026,4,4,0.75,0.334,0.416,0.75,0.352,0.398,0.782,0.3,0.482
"Stephenson, Tyler",663886,2026,4,3,0.0,0.139,-0.139,0.0,0.157,-0.157,0.19,0.284,-0.0939999999999999
"Narváez, Carlos",665966,2026,4,3,0.333,0.244,0.089,0.333,0.274,0.059,0.347,0.226,0.1209999999999999
"Fermin, Freddy",666023,2026,4,2,0.0,0.111,-0.111,0.0,0.131,-0.131,0.19,0.27,-0.08
"Rutschman, Adley",668939,2026,4,4,0.5,0.345,0.155,0.75,0.471,0.279,0.657,0.351,0.306
"Wells, Austin",669224,2026,4,3,0.667,0.521,0.146,0.667,0.634,0.033,0.711,0.567,0.144
"Smith, Will",669257,2026,4,4,0.5,0.507,-0.007,1.25,1.208,0.042,0.964,0.715,0.249
"Moreno, Gabriel",672515,2026,4,3,0.0,0.029,-0.029,0.0,0.036,-0.036,0.0,0.026,-0.026
"Diaz, Yainer",673237,2026,4,1,0.0,0.016,-0.016,0.0,0.018,-0.018,0.19,0.201,-0.011
"Jeffers, Ryan",680777,2026,4,3,0.25,0.278,-0.028,0.25,0.419,-0.1689999999999999,0.261,0.293,-0.0319999999999999
"Davis, Henry",680779,2026,4,4,0.25,0.191,0.059,0.5,0.208,0.292,0.397,0.174,0.223
"O'Hoppe, Logan",681351,2026,4,2,0.5,0.179,0.321,0.5,0.192,0.308,0.521,0.166,0.355
"Pagés, Pedro",686780,2026,4,4,0.25,0.169,0.0809999999999999,0.25,0.19,0.06,0.261,0.157,0.104
"Harper, Bryce",547180,2026,4,2,0.0,0.108,-0.108,0.0,0.113,-0.113,0.0,0.101,-0.101
"Caratini, Victor",605170,2026,4,3,0.333,0.28,0.0529999999999999,0.333,0.36,-0.0269999999999999,0.451,0.397,0.0539999999999999
"Alonso, Pete",624413,2026,4,1,0.0,0.13,-0.13,0.0,0.474,-0.474,0.19,0.376,-0.186
